description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
dont shoot say young lion rug lie front fireplace wont move muscle sit toast marshmallow want love marshmallow hunter listen reason young lion eating hunter lafcadio take gun home practice practice becomes world greatest sharpshooter dressed starched collar fancy suit enjoying marshmallow want lafcadio pampered admired wherever go famous successful admired lion happy lion lion told drawn wit gusto shel silverstein modern fable speaks child u,112,"lafcadio, the lion who shot back",shel silverstein,1963,http://books.google.com/books/content?id=lmeJRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1615,23,
france hodgson burnett secret garden delight wondrous discovery lonely mary lennox slowly help bring abandoned garden back life also delight good food robust appetite health strength bring written time many child going hungry even starving burnett beloved story celebrates magic fresh air new milk homemade currant bun hearty simple fare inside page cookbook recipe mary favorite food garden porridge roasted potato egg inspired secret garden adapted chef culinary historian amy coder traditional victorian recipe m coder supplemented simple wholesome recipe fascinating tidbit victorian food victorian eating custom result scrumptious tribute burnett classic novel fascinating glimpse cooking custom historical period long past stepbystep guide making delicious tasty treat enjoy secret garden,128,the secret garden cookbook,amy cotler,1999,http://books.google.com/books/content?id=c7E_HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,juvenile nonfiction,2131,23,
though best known author little house book laura ingalls wilder led full rich life spanned almost century american history life laura saved memento past including early writing letter drawing photograph lovingly preserved private public collection across country first time ever photograph writing memorabilia gathered together one incredible volume noted little house historian william anderson gorgeous page lauras album doorway private world laura ingalls wilder offer unique glimpse life like fascinating true story remarkable pioneer woman life well unforgettable tale american past,80,laura's album,william anderson,1998,http://books.google.com/books/content?id=_zTkqDlEV-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,juvenile nonfiction,1260,29,
working secretary british embassy crete nicola ferris enjoying day meet two hiking companion accidentally stumbled middle terrifying act vengeance reprint,400,moonspinners,mary stewart,2003,http://books.google.com/books/content?id=GRhFkTkZba4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2875,29,
new essay collection beloved author high tide tucson brings u one history darker moment extended love song world still whether contemplating grand canyon vegetable garden motherhood genetic engineering future nation founded best human impulse essay grounded author belief largest problem grown earth remotest corner well backyard answer may lie place sometimes grave occasionally hilarious ultimately persuasive small wonder hopeful examination people seem might yet make,264,small wonder,barbara kingsolver,2003,http://books.google.com/books/content?id=2mrrlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,2369,30,
extraordinary artist rival chosen arena dan simmons posse restless talent continually press boundary tantalizing mind touching soul offer u superb quintet novella five dazzling masterworks speculative fiction including orphan helix awardwinning return hyperion universe demonstrates unique mastery breathtaking invention flawless craftsmanship one contemporary fiction true great human colonist seeking something godhood encounter longlost cousinsand ancient scourge devastated man suicide embrace caught bizarre catandmouse game young woman possessing worldending power distant descendant onceoppressed people learn chilling lesson persistence past terrifying ascent frigid snowswept slope k2 shatters preconception reveals true nature four climber one human intersection grand past threadbare present aging american russia confronts mortality glimpse wondrous future,272,worlds enough & time,dan simmons,2002,http://books.google.com/books/content?id=EKoIG4auiB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2752,22,
15 year designing 1500 book jacket knopf author anne rice michael chrichton kidd crafted affecting entertaining novel set state university late 1950s slaphappily funny heartbreakingly sad cheese monkey college novel take place tightly written two semester book set late 1950s state u young narrator decided major art much parent dismay autobiographical comingofage novel tell universally appealing story maturity finding calling life inspired loving demanding highly eccentric teacher,288,the cheese monkeys,chip kidd,2002,http://books.google.com/books/content?id=wkCm2zyHAcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2896,25,
often feel go distant region world reminded really michael crichton harvardtrained physician bestselling novelist successful movie director began feel isolated life decided widen horizon tracked wild animal jungle rwanda climbed kilimanjaro mayan pyramid trekked across landslide pakistan swam amid shark tahiti fueled powerful curiosity need see feel hear firsthand closeup michael crichton experienced adventure compelling created book film adventure physical spiritual recorded travel crichton astonishing personal work,400,travels,michael crichton,2002,http://books.google.com/books/content?id=QYilZGadTEYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2663,27,
fictional portrait julius caesar follows legendary ancient roman military political leader remarkable conquest gaul momentous decision rubicon river personal triumph tragedy dream disappointment reprint,928,caesar,colleen mccullough,2003,http://books.google.com/books/content?id=aoH_-e_syp0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1599,30,
drafted rank earth interstellar warrior private william mandella find fight taurans secondary sideeffects fasterthanlight space travel affect rate age winner hugo nebula award reprint 25000 first printing,278,the forever war,joe haldeman,2003,http://books.google.com/books/content?id=jc1eCZlD-ScC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2219,22,
camp amelia bedelia never camping great outdoors shes trying best exactly shes told pitching tent throwing bush catching fish bare hand isnt easy usual mixedup housekeeper make camping trip one hugely entertaining adventure,64,amelia bedelia goes camping,peggy parish,2003,http://books.google.com/books/content?id=WEEz7PKLpQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2084,28,
search sister could cost woman life christy mckenna smartest fashion writer new york thought shed escaped childhood impoverished rural west came call help one person could refuseher sister internationally celebrated model known jo jos plea draw christy back magnificent mountain mysterious redrock canyon four corner country shes latejo disappeared however christy find unlikely ally outlaw archaeologist aaron cain together pursue jo fabulous cache ancient indian artifact worth million christy cain clash every turn antagonism soon turn partnershipand blazing passion,416,the secret sister,elizabeth lowell,2005,http://books.google.com/books/content?id=Pmjr6ytkCikC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2249,30,
starring everyones favourite literalminded housekeeper amelia bedelia help appears first time full colour read book neighbor need amelia bedelias helping hand everyones favorite housekeeper miss emmas house day work good thing miss emma like laugh amelia bedelia make usual merry mess available first time full color zany antic amelia bedelia one childrens book lovable character enjoyed kid 40 year herman parish nephew peggy parish original creator amelia bedelia carry tradition aunt new book starring entertaining housekeeper age 48,64,amelia bedelia helps out,peggy parish,2005,http://books.google.com/books/content?id=rELWOiQkJTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1458,29,
exquisitely crafted authentic imperial faberge egg mysteriously show laurel swanns home studio know one personher father drifted life long remember time jamie swann leaf something many people kill league desperate laurel forced accept help man trying ensnare father web double cross cruz rowan help stay alive father elizabeth lowell writing ann maxwell deftly combine nonstop action spy thriller heartpounding excitement true love adventure,448,whirlpool,elizabeth lowell,2006,http://books.google.com/books/content?id=FrnsFG4_j1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1591,24,
mr carter mistake lovableliteralminded amelia bedelia new teacher class never,64,"teach us, amelia bedelia",peggy parish,2004,http://books.google.com/books/content?id=gnVFCJ4sW3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1568,21,
